"","Colony","Core","Sample.Name","File.Name","A.CT.mean","B.CT.mean","C.CT.mean","D.CT.mean","Ofav.CT.mean","A.CT.sd","B.CT.sd","C.CT.sd","D.CT.sd","Ofav.CT.sd","A.reps","B.reps","C.reps","D.reps","Ofav.reps","A.SH","B.SH","C.SH","D.SH","tot.SH","HostCopy","tot.SH_c","Log_tot.SH_c","D.Prp","ID","RanA"
"1","4","47","4-47","Ofav_Lauren_Plate1.csv",NA,NA,NA,25.80142402645,16.4130472031,NA,NA,NA,0.0948189452199757,0.231006539529857,0,0,0,2,2,0,0,0,0.0168218859575932,0.0168218859575932,2,0.0336437719151863,-1.47309531994545,1,"4-47.Ofav_Lauren_Plate1.csv",2
"2","4","54","4-54","Ofav_Lauren_Plate1.csv",36.7121246948,NA,NA,23.59181690215,14.93932855985,NA,NA,NA,0.136036540037963,0.109275651437452,1,0,0,2,2,0,0,0,0.0280155524328282,0.0280155524328282,2,0.0560311048656565,-1.2515708136858,1,"4-54.Ofav_Lauren_Plate1.csv",3
"3","6","109","6-109","Ofav_Lauren_Plate1.csv",NA,33.0749612122,NA,24.71957874295,15.7077773895,NA,NA,NA,0.0717926045975878,0.0223803137249587,0,1,0,2,2,0,0,0,0.0218391231090413,0.0218391231090413,2,0.0436782462180825,-1.35973480787429,1,"6-109.Ofav_Lauren_Plate1.csv",2
"4","6","119A","6-119A","Ofav_Lauren_Plate1.csv",NA,28.8797707825,NA,22.57661247255,14.8766902771,NA,NA,NA,0.242571634742601,0.373581573007585,0,1,0,2,2,0,0,0,0.0542188340070053,0.0542188340070053,2,0.108437668014011,-0.964819830629887,1,"6-119A.Ofav_Lauren_Plate1.csv",2
"5","6","37","6-37","Ofav_Lauren_Plate1.csv",NA,29.6093583374,NA,24.17934322355,15.63475359345,NA,NA,NA,1.16506162445168,0.337569956901641,0,1,0,2,2,0,0,0,0.0301911697170492,0.0301911697170492,2,0.0603823394340985,-1.21909006482008,1,"6-37.Ofav_Lauren_Plate1.csv",2
"6","6","44","6-44","Ofav_Lauren_Plate1.csv",NA,35.3000397949,NA,24.09635448455,15.6878894653,NA,NA,NA,0.635484112733253,0.386577638021383,0,1,0,2,2,0,0,0,0.033178559807022,0.033178559807022,2,0.066357119614044,-1.17811247380615,1,"6-44.Ofav_Lauren_Plate1.csv",2
"7","6","7","6-7","Ofav_Lauren_Plate1.csv",NA,27.5385918884,NA,23.13905811305,15.36453569795,NA,NA,NA,0.00291184147116416,0.126784463867769,0,1,0,2,2,0,0,0,0.0514864881419135,0.0514864881419135,2,0.102972976283827,-0.987276734427658,1,"6-7.Ofav_Lauren_Plate1.csv",2
"8","6","99","6-99","Ofav_Lauren_Plate1.csv",NA,30.1289391785,NA,24.25992298125,15.94772566225,NA,NA,NA,0.0752533666283149,0.727178121933959,0,1,0,2,2,0,0,0,0.0354680241840534,0.0354680241840534,2,0.0709360483681067,-1.14913300841731,1,"6-99.Ofav_Lauren_Plate1.csv",3
"9","7","40","7-40","Ofav_Lauren_Plate1.csv",40.042603363,NA,NA,24.32910442355,16.01156748195,NA,NA,NA,0.0691032984693002,0.0477048377239377,1,0,0,2,2,0,0,0,0.0353369945361192,0.0353369945361192,7,0.247358961752835,-0.606672350635156,1,"7-40.Ofav_Lauren_Plate1.csv",2
"19","6","113","6-113","Ofav_Lauren_Plate2.csv",NA,NA,NA,23.0255241394,14.5730041351,NA,NA,NA,0.181753395129857,0.576487965673262,0,0,0,2,2,0,0,0,0.0321807127345415,0.0321807127345415,2,0.0643614254690829,-1.19137434576472,1,"6-113.Ofav_Lauren_Plate2.csv",2
"20","6","118","6-118","Ofav_Lauren_Plate2.csv",NA,32.4599404602,NA,22.8999109268,15.55982817075,NA,NA,NA,0.00964185025712735,0.10978950579392,0,1,0,2,2,0,0,0,0.0695781117732779,0.0695781117732779,2,0.139156223546556,-0.856497365747576,1,"6-118.Ofav_Lauren_Plate2.csv",2
"21","6","21","6-21","Ofav_Lauren_Plate2.csv",NA,34.8858971863,NA,23.3768148422,15.8190959778,NA,NA,NA,0.0316499230320578,0.548920555037924,0,1,0,2,2,0,0,0,0.0598353232861973,0.0598353232861973,2,0.119670646572395,-0.922012362500501,1,"6-21.Ofav_Lauren_Plate2.csv",2
"23","6","39","6-39","Ofav_Lauren_Plate2.csv",NA,30.9325433044,NA,23.65395069125,16.82450045015,NA,NA,NA,0.145183417669582,0.639238891177813,0,1,0,2,2,0,0,0,0.0991261736417907,0.0991261736417907,2,0.198252347283581,-0.702781661986288,1,"6-39.Ofav_Lauren_Plate2.csv",2
"24","6","50","6-50","Ofav_Lauren_Plate2.csv",NA,33.6955323486,NA,23.8987932205,15.0147870865,NA,NA,NA,0.0512950748953846,0.103438481493934,0,1,0,2,2,0,0,0,0.0238619203006455,0.0238619203006455,2,0.047723840601291,-1.32126461351738,1,"6-50.Ofav_Lauren_Plate2.csv",2
"31","8","7","8-7","Ofav_Lauren_Plate2.csv",NA,NA,NA,25.58220386505,22.4085754242,NA,NA,NA,0.166940632434491,4.39819155514438,0,0,0,2,2,0,0,0,1.24939672447279,1.24939672447279,7,8.7457770713095,0.941798403041533,1,"8-7.Ofav_Lauren_Plate2.csv",2
"32","4","49","4-49","Ofav_Lauren_Plate3.csv",NA,NA,NA,23.27833271025,17.24025476835,NA,NA,NA,0.477416572053688,1.28982978302026,0,0,0,2,2,0,0,0,0.171559646281049,0.171559646281049,2,0.343119292562098,-0.464554862189518,1,"4-49.Ofav_Lauren_Plate3.csv",2
"34","4","71","4-71","Ofav_Lauren_Plate3.csv",NA,NA,NA,24.2205324173,15.2450298157,NA,NA,NA,0.517567345749226,NA,0,0,0,2,1,0,0,0,0.0223955746010177,0.0223955746010177,2,0.0447911492020353,-1.34880779476228,1,"4-71.Ofav_Lauren_Plate3.csv",2
"35","6","34","6-34","Ofav_Lauren_Plate3.csv",NA,NA,NA,22.73298835755,15.8767150726,NA,NA,NA,0.350329999571375,NA,0,0,0,2,1,0,0,0,0.097300215373045,0.097300215373045,2,0.19460043074609,-0.710856202760149,1,"6-34.Ofav_Lauren_Plate3.csv",2
"42","8","17","8-17","Ofav_Lauren_Plate3.csv",NA,NA,NA,25.2381019592,18.5209678497,NA,NA,NA,0.768866412775314,NA,0,0,0,2,1,0,0,0,0.107151650972776,0.107151650972776,7,0.750061556809431,-0.12490309302747,1,"8-17.Ofav_Lauren_Plate3.csv",2
"44","8","24","8-24","Ofav_Lauren_Plate3.csv",NA,NA,NA,24.50003528595,17.8657707062,NA,NA,NA,0.15047571311854,1.28585246923283,0,0,0,2,2,0,0,0,0.113486729655773,0.113486729655773,7,0.794407107590412,-0.0999568788461511,1,"8-24.Ofav_Lauren_Plate3.csv",2
