"","Sample.Name","File.Name","Of_Actin.CT.mean","Of_SC.CT.mean","Of_Actin.CT.sd","Of_SC.CT.sd","Of_Actin.Of_SC","ID","RanA"
"1","4-42","Copy of Ofav2_Lauren_data.csv",19.12170028685,20.3778009415,0.197411792340277,0.188492844852008,2.38849300987932,"4-42.Copy of Ofav2_Lauren_data.csv",2
"2","4-63","Copy of Ofav2_Lauren_data.csv",20.9895801544,21.16797447205,0.00279989946734411,0.215303635321573,1.13162371616486,"4-63.Copy of Ofav2_Lauren_data.csv",2
"3","6-1","Copy of Ofav2_Lauren_data.csv",19.286939621,20.1956863403,0.204176867258626,0.24415500755105,1.87741386541081,"6-1.Copy of Ofav2_Lauren_data.csv",2
"5","6-27","Copy of Ofav2_Lauren_data.csv",20.0004911423,20.4723930359,0.330001057277994,0.350475659113529,1.38693665121626,"6-27.Copy of Ofav2_Lauren_data.csv",2
"8","6-50","Copy of Ofav2_Lauren_data.csv",19.56120491025,20.26346969605,0.0828290097172034,0.13247462553366,1.62705699163046,"6-50.Copy of Ofav2_Lauren_data.csv",2
"11","7-48","Copy of Ofav2_Lauren_data.csv",19.4158535004,21.68793487545,0.039373923063332,0.118059728984521,4.83019480485208,"7-48.Copy of Ofav2_Lauren_data.csv",4
"12","7-76","Copy of Ofav2_Lauren_data.csv",21.39248752595,22.51165294645,0.332318122385546,0.303596225296791,2.1722127659178,"7-76.Copy of Ofav2_Lauren_data.csv",2
"15","8-3","Copy of Ofav2_Lauren_data.csv",22.8730945587,23.78382110595,0.539447292189617,0.127238975418995,1.87999203191056,"8-3.Copy of Ofav2_Lauren_data.csv",4
"20","4-64","Copy of Ofav3_Lauren_data.csv",21.74951171875,21.03984451295,0.176941236569745,0.025849167956398,0.611461171605781,"4-64.Copy of Ofav3_Lauren_data.csv",2
"21","4-65","Copy of Ofav3_Lauren_data.csv",19.63175201415,19.90048599245,0.0520409054602072,0.251273441688471,1.2047501479927,"4-65.Copy of Ofav3_Lauren_data.csv",2
"22","4-66","Copy of Ofav3_Lauren_data.csv",20.65860652925,19.97724723815,0.135424230537449,0.00774692789794513,0.623577469878834,"4-66.Copy of Ofav3_Lauren_data.csv",2
"23","4-70","Copy of Ofav3_Lauren_data.csv",18.79450321195,20.16442108155,0.0769958859093969,0.316456071704628,2.58455852216278,"4-70.Copy of Ofav3_Lauren_data.csv",3
"24","4-71","Copy of Ofav3_Lauren_data.csv",20.9943351746,20.33441352845,0.00276213586400995,0.129113667241036,0.632912670013647,"4-71.Copy of Ofav3_Lauren_data.csv",3
"26","6-109","Copy of Ofav3_Lauren_data.csv",21.6965274811,21.8088159561,0.125992777428188,0.177846213677907,1.08094152077748,"6-109.Copy of Ofav3_Lauren_data.csv",3
"28","6-21","Copy of Ofav3_Lauren_data.csv",18.91155910495,20.34884357455,0.0145268385529597,0.0663924131391052,2.7081064880081,"6-21.Copy of Ofav3_Lauren_data.csv",4
"33","7-66","Copy of Ofav3_Lauren_data.csv",19.40567684175,22.7343864441,0.569012126251767,0.0742890467149165,10.0471164784753,"7-66.Copy of Ofav3_Lauren_data.csv",3
"36","8-21","Copy of Ofav3_Lauren_data.csv",24.3758649826,24.38437938695,0.180333215000464,0.1151721641155,1.00591918492019,"8-21.Copy of Ofav3_Lauren_data.csv",3
"39","4-65","Ofav_Copy4_data.csv",19.0818796158,19.5157365799,0.270474871530816,0.292965778594829,1.35084014894314,"4-65.Ofav_Copy4_data.csv",2
"40","4-70","Ofav_Copy4_data.csv",18.479516983,19.62625694275,0.0363959953216872,0.158582743700796,2.21413004454751,"4-70.Ofav_Copy4_data.csv",3
"41","4-71","Ofav_Copy4_data.csv",21.18838787075,20.4446268082,0.121389667209762,0.124426937685934,0.597180489675444,"4-71.Ofav_Copy4_data.csv",3
"42","6-109","Ofav_Copy4_data.csv",20.79979610445,21.33651256565,0.252148747394011,0.360125601571371,1.4506670742393,"6-109.Ofav_Copy4_data.csv",3
"43","6-21","Ofav_Copy4_data.csv",18.6460981369,20.24934959415,0.101383063926646,0.0396544524759721,3.03827289497922,"6-21.Ofav_Copy4_data.csv",4
"48","7-48","Ofav_Copy4_data.csv",19.2388486862,21.75668430325,0.32395349032803,0.451874907512313,5.72722235887081,"7-48.Ofav_Copy4_data.csv",4
"49","7-66","Ofav_Copy4_data.csv",19.3837547302,22.4914035797,0.154690397985508,0.0614656151749361,8.61976686254415,"7-66.Ofav_Copy4_data.csv",3
"51","7-76","Ofav_Copy4_data.csv",20.88545036315,22.27405929565,0.444590583366309,0.254834007457301,2.61826102492835,"7-76.Ofav_Copy4_data.csv",2
"52","7-77","Ofav_Copy4_data.csv",18.19478797915,22.0159921646,0.287054430180117,0.144959533591235,14.1350412225681,"7-77.Ofav_Copy4_data.csv",3
"53","8-21","Ofav_Copy4_data.csv",23.2473373413,23.60089588165,0.0919947691504877,0.0856707188528843,1.27770832908686,"8-21.Ofav_Copy4_data.csv",3
"55","8-28","Ofav_Copy4_data.csv",19.40727329255,22.56853294375,0.581641345116015,0.0919138472140532,8.94610475144335,"8-28.Ofav_Copy4_data.csv",3
"56","8-3","Ofav_Copy4_data.csv",23.4088897705,23.4007692337,0.474798746996359,0.0896682631067476,0.99438708441701,"8-3.Ofav_Copy4_data.csv",4
"57","8-30","Ofav_Copy4_data.csv",20.2296447754,23.45686817165,0.454819117786334,0.191031096637671,9.36463910094161,"8-30.Ofav_Copy4_data.csv",3
"59","4-42","Ofav_Copy5_data.csv",20.06809043885,21.1411962509,0.515645449529082,0.285645039580963,2.10395786401261,"4-42.Ofav_Copy5_data.csv",2
"60","4-66","Ofav_Copy5_data.csv",19.20551013945,20.54875183105,0.00679609498573445,0.101637968072379,2.53720781602284,"4-66.Ofav_Copy5_data.csv",2
"61","4-70","Ofav_Copy5_data.csv",20.06973171235,21.3128118515,0.104072370125646,0.160685365666186,2.36703352436621,"4-70.Ofav_Copy5_data.csv",3
"62","4-71","Ofav_Copy5_data.csv",19.29980659485,20.6756696701,0.0762419631438622,0.0320895989173303,2.59523121137896,"4-71.Ofav_Copy5_data.csv",3
"63","6-109","Ofav_Copy5_data.csv",20.8879556656,22.8369922638,0.0780020154911346,0.229451489388553,3.86116604806997,"6-109.Ofav_Copy5_data.csv",3
"64","6-21","Ofav_Copy5_data.csv",19.30440330505,23.06188774105,0.428589616608483,0.405815482731589,13.5243226589762,"6-21.Ofav_Copy5_data.csv",4
"65","6-27","Ofav_Copy5_data.csv",19.32545375825,21.2561635971,0.0850503172223626,0.0653242434225989,3.8124273319442,"6-27.Ofav_Copy5_data.csv",2
"66","7-48","Ofav_Copy5_data.csv",19.0060377121,22.03828811645,0.0478100361918067,0.229942415878353,8.18084804747951,"7-48.Ofav_Copy5_data.csv",4
