Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Copy of Ofav3_Lauren.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-04-01 13:39:09 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,0-NTC,Of_SC,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.02,1,3,39,,N,Y
A2,4-47,Of_Actin,UNKNOWN,SYBR,None,20.6527824402,20.6333179474,0.0275269505,,,,1,0.02,1,3,18,,N,N
A3,4-47,Of_SC,UNKNOWN,SYBR,None,22.1853885651,21.8740768433,0.4402626157,,,,1,0.02,1,3,20,,N,N
A4,4-47,Of_Actin,UNKNOWN,SYBR,None,20.6138534546,20.6333179474,0.0275269505,,,,1,0.02,1,3,18,,N,N
A5,4-47,Of_SC,UNKNOWN,SYBR,None,21.5627632141,21.8740768433,0.4402626157,,,,1,0.02,1,3,19,,N,N
A6,4-64,Of_Actin,UNKNOWN,SYBR,None,21.874628067,21.7495117188,0.1769412309,,,,1,0.02,1,3,19,,N,N
A7,4-64,Of_SC,UNKNOWN,SYBR,None,21.0581226349,21.0398445129,0.0258491673,,,,1,0.02,1,3,19,,N,N
A8,4-64,Of_Actin,UNKNOWN,SYBR,None,21.6243953705,21.7495117188,0.1769412309,,,,1,0.02,1,3,19,,N,N
A9,4-64,Of_SC,UNKNOWN,SYBR,None,21.021566391,21.0398445129,0.0258491673,,,,1,0.02,1,3,19,,N,N
A10,7-50,Of_Actin,UNKNOWN,SYBR,None,25.4639205933,24.1457939148,1.8641113043,,,,1,0.02,1,3,23,,Y,N
A11,7-50,Of_SC,UNKNOWN,SYBR,None,24.65990448,24.3243579865,0.4745343924,,,,1,0.02,1,3,22,,N,N
A12,0-NTC,Of_Actin,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.02,1,3,39,,N,Y
B1,6-119A,Of_SC,UNKNOWN,SYBR,None,21.1064090729,20.7648715973,0.4830069244,,,,1,0.02,1,3,19,,N,N
B2,6-119A,Of_Actin,UNKNOWN,SYBR,None,19.3547840118,19.2078762054,0.2077590078,,,,1,0.02,1,3,17,,N,N
B3,6-119A,Of_SC,UNKNOWN,SYBR,None,20.4233341217,20.7648715973,0.4830069244,,,,1,0.02,1,3,18,,N,N
B4,6-119A,Of_Actin,UNKNOWN,SYBR,None,19.060968399,19.2078762054,0.2077590078,,,,1,0.02,1,3,17,,N,N
B5,6-7,Of_SC,UNKNOWN,SYBR,None,20.9510269165,21.0142059326,0.0893499702,,,,1,0.02,1,3,19,,N,N
B6,6-7,Of_Actin,UNKNOWN,SYBR,None,19.5487422943,19.4839553833,0.09162388,,,,1,0.02,1,3,18,,N,N
B7,6-7,Of_SC,UNKNOWN,SYBR,None,21.0773868561,21.0142059326,0.0893499702,,,,1,0.02,1,3,19,,N,N
B8,6-7,Of_Actin,UNKNOWN,SYBR,None,19.4191665649,19.4839553833,0.09162388,,,,1,0.02,1,3,18,,N,N
B9,8-21,Of_SC,UNKNOWN,SYBR,None,24.4658184052,24.3843803406,0.1151721627,,,,1,0.02,1,3,23,,N,N
