Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Copy.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-04-24 15:07:58 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,0-NTC,Of_SC,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,Y
A6,6-21,Of_Actin,UNKNOWN,SYBR,None,19.0013446808,19.3044033051,0.4285896122,,,,0,0.02,1,3,17,,N,N
A7,6-21,Of_SC,UNKNOWN,SYBR,None,22.7749328613,23.0618877411,0.4058154821,,,,0,0.02,1,3,21,,N,N
A8,6-21,Of_Actin,UNKNOWN,SYBR,None,19.6074619293,19.3044033051,0.4285896122,,,,0,0.02,1,3,18,,N,N
A9,6-21,Of_SC,UNKNOWN,SYBR,None,23.3488426208,23.0618877411,0.4058154821,,,,0,0.02,1,3,21,,N,N
A12,0-NTC,Of_Actin,UNKNOWN,SYBR,None,39.7598609924,39.7598609924,,,,,0,0.02,1,3,35,,N,N
B1,4-70,Of_SC,UNKNOWN,SYBR,None,21.1991901398,21.3128128052,0.1606853604,,,,0,0.02,1,3,19,,N,N
B2,4-70,Of_Actin,UNKNOWN,SYBR,None,20.143321991,20.069732666,0.1040723696,,,,0,0.02,1,3,18,,N,N
B3,4-70,Of_SC,UNKNOWN,SYBR,None,21.4264335632,21.3128128052,0.1606853604,,,,0,0.02,1,3,19,,N,N
B4,4-70,Of_Actin,UNKNOWN,SYBR,None,19.9961414337,20.069732666,0.1040723696,,,,0,0.02,1,3,18,,N,N
B5,6-27,Of_SC,UNKNOWN,SYBR,None,21.2099723816,21.2561645508,0.0653242469,,,,0,0.02,1,3,19,,N,N
B6,6-27,Of_Actin,UNKNOWN,SYBR,None,19.2653141022,19.3254547119,0.0850503147,,,,0,0.02,1,3,17,,N,N
B7,6-27,Of_SC,UNKNOWN,SYBR,None,21.3023548126,21.2561645508,0.0653242469,,,,0,0.02,1,3,19,,N,N
B8,6-27,Of_Actin,UNKNOWN,SYBR,None,19.3855934143,19.3254547119,0.0850503147,,,,0,0.02,1,3,17,,N,N
B9,8-21,Of_SC,UNKNOWN,SYBR,None,26.4970874786,26.4666213989,0.0430868901,,,,0,0.02,1,3,25,,N,N
B10,8-21,Of_Actin,UNKNOWN,SYBR,None,23.6564331055,23.8304634094,0.2461173683,,,,0,0.02,1,3,22,,N,N
