"","Colony","Core","Sample.Name","File.Name","Of_Actin.CT.mean","Of_SC.CT.mean","Of_Actin.CT.sd","Of_SC.CT.sd","Of_Actin.reps","Of_SC.reps","Of_Actin.Of_SC"
"2","4","42","4-42","Copy of Ofav2_Lauren_data.csv",19.12170028685,20.3778009415,0.197411792340277,0.188492844852008,2,2,2.38849300987932
"4","4","63","4-63","Copy of Ofav2_Lauren_data.csv",20.9895801544,21.16797447205,0.00279989946734411,0.215303635321573,2,2,1.13162371616486
"7","6","1","6-1","Copy of Ofav2_Lauren_data.csv",19.286939621,20.1956863403,0.204176867258626,0.24415500755105,2,2,1.87741386541081
"8","6","23","6-23","Copy of Ofav2_Lauren_data.csv",18.5789833069,20.3398323059,0.0388910887742498,0.282342075358105,2,2,3.38897501104218
"9","6","27","6-27","Copy of Ofav2_Lauren_data.csv",20.0004911423,20.4723930359,0.330001057277994,0.350475659113529,2,2,1.38693665121626
"10","6","30","6-30","Copy of Ofav2_Lauren_data.csv",19.0565023422,20.90358257295,0.200080867931426,0.483768945018438,2,2,3.59771331804691
"12","6","44","6-44","Copy of Ofav2_Lauren_data.csv",19.02563667295,20.6889705658,0.360283399379239,0.340244427293263,2,2,3.16747644955279
"13","6","50","6-50","Copy of Ofav2_Lauren_data.csv",19.56120491025,20.26346969605,0.0828290097172034,0.13247462553366,2,2,1.62705699163046
"14","7","17","7-17","Copy of Ofav2_Lauren_data.csv",20.32174015045,22.76916313175,0.279875304572691,0.0363771135200214,2,2,5.45440936370855
"15","7","39","7-39","Copy of Ofav2_Lauren_data.csv",18.2448348999,21.56854820255,0.123090376893214,0.281740555529252,2,2,10.0123817763716
"16","7","48","7-48","Copy of Ofav2_Lauren_data.csv",19.4158535004,21.68793487545,0.039373923063332,0.118059728984521,2,2,4.83019480485208
"17","7","76","7-76","Copy of Ofav2_Lauren_data.csv",21.39248752595,22.51165294645,0.332318122385546,0.303596225296791,2,2,2.1722127659178
"18","7","78","7-78","Copy of Ofav2_Lauren_data.csv",19.23200798035,22.55201244355,0.126850550067538,0.324700669628324,2,2,9.98667528648801
"19","7","80","7-80","Copy of Ofav2_Lauren_data.csv",19.25623226165,22.468501091,0.0903938633465572,0.0107208095038779,2,2,9.26806928499486
"22","8","3","8-3","Copy of Ofav2_Lauren_data.csv",22.8730945587,23.78382110595,0.539447292189617,0.127238975418995,2,2,1.87999203191056
"23","8","37","8-37","Copy of Ofav2_Lauren_data.csv",19.57059192655,22.3969087601,0.180424926537852,0.263205383050768,2,2,7.09261104703131
"24","8","8","8-8","Copy of Ofav2_Lauren_data.csv",19.3952484131,22.16267967225,0.153193341913974,0.408715185937038,2,2,6.80894490296915
"26","4","47","4-47","Copy of Ofav3_Lauren_data.csv",20.6333179474,21.8740758896,0.0275269497024723,0.440262607830754,2,2,2.36322655447832
"27","4","61","4-61","Copy of Ofav3_Lauren_data.csv",18.66626644135,19.535367012,0.0329851351600115,0.226520766115723,2,2,1.82652382304123
"28","4","64","4-64","Copy of Ofav3_Lauren_data.csv",21.74951171875,21.03984451295,0.176941236569745,0.025849167956398,2,2,0.611461171605781
"29","4","66","4-66","Copy of Ofav3_Lauren_data.csv",20.65860652925,19.97724723815,0.135424230537449,0.00774692789794513,2,2,0.623577469878834
"30","4","70","4-70","Copy of Ofav3_Lauren_data.csv",18.79450321195,20.16442108155,0.0769958859093969,0.316456071704628,2,2,2.58455852216278
"31","4","71","4-71","Copy of Ofav3_Lauren_data.csv",20.9943351746,20.33441352845,0.00276213586400995,0.129113667241036,2,2,0.632912670013647
"32","4","73","4-73","Copy of Ofav3_Lauren_data.csv",21.2860689163,21.0672903061,0.0343230447589187,0.316017744484121,2,2,0.859292608192272
"33","6","109","6-109","Copy of Ofav3_Lauren_data.csv",21.6965274811,21.8088159561,0.125992777428188,0.177846213677907,2,2,1.08094152077748
"34","6","119A","6-119A","Copy of Ofav3_Lauren_data.csv",19.2078762054,20.7648715973,0.207759012229361,0.483006930052189,2,2,2.9424040933885
"35","6","21","6-21","Copy of Ofav3_Lauren_data.csv",18.91155910495,20.34884357455,0.0145268385529597,0.0663924131391052,2,2,2.7081064880081
"36","6","37","6-37","Copy of Ofav3_Lauren_data.csv",19.67282295225,20.46004009245,0.0691127393347784,0.163787373748075,2,2,1.72574241123236
"37","6","45","6-45","Copy of Ofav3_Lauren_data.csv",19.63175201415,19.90048599245,0.0520409054602072,0.251273441688471,2,2,1.2047501479927
"38","6","7","6-7","Copy of Ofav3_Lauren_data.csv",19.4839544296,21.0142068863,0.0916238769359324,0.0893499701614828,2,2,2.88836378059125
"40","7","49","7-49","Copy of Ofav3_Lauren_data.csv",22.12736701965,24.54644298555,0.18011067965759,0.0680782870858917,2,2,5.34828359101718
"42","7","58","7-58","Copy of Ofav3_Lauren_data.csv",20.02909564975,22.62395000455,0.190275825136663,0.197270178933837,2,2,6.04128042270098
"43","7","66","7-66","Copy of Ofav3_Lauren_data.csv",19.40567684175,22.7343864441,0.569012126251767,0.0742890467149165,2,2,10.0471164784753
"44","8","15","8-15","Copy of Ofav3_Lauren_data.csv",19.83023643495,22.71496391295,0.154509672310974,0.00934109037805538,2,2,7.38566321811114
"45","8","17","8-17","Copy of Ofav3_Lauren_data.csv",20.93125152585,24.02215957645,0.456159724714768,0.514275171198031,2,2,8.52032257162097
"46","8","21","8-21","Copy of Ofav3_Lauren_data.csv",24.3758649826,24.38437938695,0.180333215000464,0.1151721641155,2,2,1.00591918492019
"48","8","7","8-7","Copy of Ofav3_Lauren_data.csv",21.9561471939,24.130440712,0.399715316441626,0.352734730222024,2,2,4.51364676346359
"51","4","57","4-57","Ofav_CopyNumber_Plate.csv",20.8577756882,20.44362354275,0.511746360277849,0.0810446807677846,2,2,0.750460401638003
"52","4","63","4-63","Ofav_CopyNumber_Plate.csv",21.05637645725,21.3331413269,0.292642090778376,0.238212639139665,2,2,1.21147519818538
"53","4","64","4-64","Ofav_CopyNumber_Plate.csv",22.07278251645,21.0901670456,0.0668037664279406,0.0151580297137207,2,2,0.506061465782149
"54","4","72","4-72","Ofav_CopyNumber_Plate.csv",19.58841323855,20.0925617218,0.211699911148933,0.242973547095251,2,2,1.41828599922121
"55","6","1","6-1","Ofav_CopyNumber_Plate.csv",18.4852952957,19.4469327927,0.153423969457563,0.052805617897405,2,2,1.94751912649825
"56","6","21","6-21","Ofav_CopyNumber_Plate.csv",18.51619815825,20.34330272675,0.20652764990451,0.0523659419414231,2,2,3.548242392726
"57","6","26","6-26","Ofav_CopyNumber_Plate.csv",18.81685733795,20.04846954345,0.560741903061167,0.246442401326693,2,2,2.34829263965948
"58","6","38","6-38","Ofav_CopyNumber_Plate.csv",20.3245334625,21.8577051163,0.221858313162765,0.430284931491457,2,2,2.89421410875042
"60","6","50","6-50","Ofav_CopyNumber_Plate.csv",19.04830551145,19.92182064055,0.094166174786598,0.0443384846308353,2,2,1.83212143385789
"63","7","48","7-48","Ofav_CopyNumber_Plate.csv",19.45685577395,22.10429382325,0.106811578052275,0.140431950579472,2,2,6.265536502635
"64","7","66","7-66","Ofav_CopyNumber_Plate.csv",18.9222793579,22.8911962509,0.287027456248444,0.0190045197663782,2,2,15.6589643397433
"65","7","77","7-77","Ofav_CopyNumber_Plate.csv",18.20293235775,21.7727575302,0.0482348764818323,0.206155408883772,2,2,11.8747494811699
"66","7","81","7-81","Ofav_CopyNumber_Plate.csv",19.20284461975,22.2114810944,0.439853951942155,0.287839373083744,2,2,8.04803441634826
"67","8","13","8-13","Ofav_CopyNumber_Plate.csv",19.9048376083,22.4123687744,0.0540086575551092,0.0453864238809123,2,2,5.68646140759579
"68","8","28","8-28","Ofav_CopyNumber_Plate.csv",19.2131948471,22.65877628325,0.401590008263667,0.322270313781478,2,2,10.8949029201044
"69","8","3","8-3","Ofav_CopyNumber_Plate.csv",25.1106119156,23.59746074675,0.541026618862354,0.444605419032263,2,2,0.350345150389447
"70","8","30","8-30","Ofav_CopyNumber_Plate.csv",19.87819576265,23.31926250455,0.111050539521393,0.0131943238252426,2,2,10.8608622721921
"71","8","38","8-38","Ofav_CopyNumber_Plate.csv",19.77549743655,22.79018592835,0.0136245588450369,0.0635857702772314,2,2,8.08186633857601
"72","8","4","8-4","Ofav_CopyNumber_Plate.csv",20.6067085266,23.55082702635,0.128104840329771,0.0559737121790653,2,2,7.69605174786773
