Sample ID,Parent,Sample.Name,Treatment,Treatment 2,Combo,Original Tank,4 AquarumPlacement,Tank,Aquarium,Notes
FL16-43,4,4-49,Control,Control,Control x Control,1,2C,2,8,good
FL16-56,4,4-42,Control,Control,Control x Control,2,4C,2,10,good
FL16-57,4,4-72,Control,Control,Control x Control,2,4C,2,10,good
FL16-9,6,6-44,Control,Control,Control x Control,2,1C,1,2,epoxy
FL16-19,6,6-26,Control,Control,Control x Control,1,3C,1,4,epoxy
FL16-44,6,6-38,Control,Control,Control x Control,1,2C,2,8,epoxy
FL16-12,7,7-40,Control,Control,Control x Control,2,1C,1,2,epoxy
FL16-59,7,7-43,Control,Control,Control x Control,1,4C,2,10,epoxy
FL16-60,7,7-62,Control,Control,Control x Control,2,4C,2,10,epoxy
FL16-13,8,8-3,Control,Control,Control x Control,2,1C,1,2,good
FL16-23,8,8-13,Control,Control,Control x Control,2,3C,1,4,good
FL16-48,8,8-27,Control,Control,Control x Control,2,2C,2,8,good
FL16-1,4,4-64,Control,Inhibitor,Control x Inhibitor,2,2I,1,1,good
FL16-30,4,4-57,Control,Inhibitor,Control x Inhibitor,2,3I,1,6,ok
FL16-31,6,6-50,Control,Inhibitor,Control x Inhibitor,1,3I,1,6,epoxy
FL16-39,6,6-34,Control,Inhibitor,Control x Inhibitor,1,1I,2,7,epoxy
FL16-4,7,7-58,Control,Inhibitor,Control x Inhibitor,1,2I,1,1,epoxy
FL16-33,7,7-37,Control,Inhibitor,Control x Inhibitor,1,3I,1,6,epoxy
FL16-34,7,7-39,Control,Inhibitor,Control x Inhibitor,1,3I,1,6,epoxy
FL16-36,8,8-24,Control,Inhibitor,Control x Inhibitor,1,3I,1,6,good
FL16-40,8,8-17,Control,Inhibitor,Control x Inhibitor,1,1I,2,7,good
FL16-41,8,8-18,Control,Inhibitor,Control x Inhibitor,1,1I,2,7,good
FL16-63,4,4-70,Control,LPS,Control x LPS,1,4L,2,11,good
FL16-70,4,4-62,Control,LPS,Control x LPS,1,2L,2,12,good
FL16-71,4,4-66,Control,LPS,Control x LPS,1,2L,2,12,good
FL16-25,6,6-21,Control,LPS,Control x LPS,2,3L,1,5,epoxy
FL16-50,6,6-47,Control,LPS,Control x LPS,2,1L,2,9,epoxy
FL16-64,6,6-27,Control,LPS,Control x LPS,2,4L,2,11,epoxy
FL16-77,6,6-1,Control,LPS,Control x LPS,2,2L,2,12,good
FL16-51,7,7-48,Control,LPS,Control x LPS,2,1L,2,9,epoxy
FL16-68,7,7-80,Control,LPS,Control x LPS,2,4L,2,11,epoxy
FL16-75,7,7-28,Control,LPS,Control x LPS,1,2L,2,12,epoxy
FL16-53,8,8-10,Control,LPS,Control x LPS,2,1L,2,9,good
FL16-54,8,8-37,Control,LPS,Control x LPS,1,1L,2,9,good
FL16-76,8,8-22,Control,LPS,Control x LPS,1,2L,2,12,good
FL16-8,4,4-63,NH4,Control,NH4 x Control,1,1C,1,2,ok
FL16-18,4,4-73,NH4,Control,NH4 x Control,2,3C,1,4,ok
FL16-58,4,4-65,NH4,Control,NH4 x Control,2,4C,2,10,ok
FL16-10,6,6-109,NH4,Control,NH4 x Control,2,1C,1,2,old tissue loss
FL16-11,6,6-99,NH4,Control,NH4 x Control,2,1C,1,2,ok
FL16-20,6,6-118,NH4,Control,NH4 x Control,2,3C,1,4,replacement
FL16-21,6,6-113,NH4,Control,NH4 x Control,2,3C,1,4,replacement
FL16-22,7,7-66,NH4,Control,NH4 x Control,2,3C,1,4,affected but ok
FL16-45,7,7-76,NH4,Control,NH4 x Control,1,2C,2,8,replacement
FL16-46,7,7-77,NH4,Control,NH4 x Control,2,2C,2,8,replacement
FL16-47,7,7-64,NH4,Control,NH4 x Control,2,2C,2,8,okish
FL16-49,8,8-35,NH4,Control,NH4 x Control,1,2C,2,8,ok
FL16-61,8,8-30,NH4,Control,NH4 x Control,2,4C,2,10,ok
FL16-62,8,8-28,NH4,Control,NH4 x Control,1,4C,2,10,ok
FL16-14,4,4-54,NH4,Inhibitor,NH4 x Inhibitor,1,4I,1,3,ok
FL16-37,4,4-61,NH4,Inhibitor,NH4 x Inhibitor,2,1I,2,7,ok
FL16-38,4,4-71,NH4,Inhibitor,NH4 x Inhibitor,1,1I,2,7,ok
FL16-2,6,6-119A,NH4,Inhibitor,NH4 x Inhibitor,2,2I,1,1,replacement
FL16-3,6,6-37,NH4,Inhibitor,NH4 x Inhibitor,1,2I,1,1,old tissue loss
FL16-15,6,6-7,NH4,Inhibitor,NH4 x Inhibitor,1,4I,1,3,affected but ok
FL16-32,6,6-39,NH4,Inhibitor,NH4 x Inhibitor,2,3I,1,6,ok
FL16-5,7,7-74,NH4,Inhibitor,NH4 x Inhibitor,1,2I,1,1,replacement
FL16-6,7,7-49,NH4,Inhibitor,NH4 x Inhibitor,2,2I,1,1,okish
FL16-7,7,7-50,NH4,Inhibitor,NH4 x Inhibitor,2,2I,1,1,okish
FL16-35,7,7-75,NH4,Inhibitor,NH4 x Inhibitor,2,3I,1,6,replacement
FL16-16,8,8-21,NH4,Inhibitor,NH4 x Inhibitor,1,4I,1,3,ok
FL16-17,8,8-7,NH4,Inhibitor,NH4 x Inhibitor,2,4I,1,3,ok
FL16-42,8,8-32,NH4,Inhibitor,NH4 x Inhibitor,1,1I,2,7,ok
FL16-24,4,4-47,NH4,LPS,NH4 x LPS,2,3L,1,5,ok
FL16-72,4,4-67,NH4,LPS,NH4 x LPS,1,2L,2,12,ok
FL16-73,4,4-69,NH4,LPS,NH4 x LPS,2,2L,2,12,ok
FL16-65,6,6-97,NH4,LPS,NH4 x LPS,2,4L,2,11,replacement
FL16-66,6,6-23,NH4,LPS,NH4 x LPS,1,4L,2,11,affected but ok
FL16-67,6,6-30,NH4,LPS,NH4 x LPS,2,4L,2,11,affected but ok
FL16-74,6,6-119B,NH4,LPS,NH4 x LPS,2,2L,2,12,replacement
FL16-26,7,7-78,NH4,LPS,NH4 x LPS,1,3L,1,5,replacement
