Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_Plate3.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-28 19:51:36 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,7-37,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,7-37,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A3,7-37,Ofav,UNKNOWN,FAM,NFQ-MGB,25.4220294952,24.761554718,0.9340524077,,,,0,0.01,1,3,24,,Y,N,N
A4,7-37,Ofav,UNKNOWN,FAM,NFQ-MGB,24.1010799408,24.761554718,0.9340524077,,,,0,0.01,1,3,23,,Y,N,N
A5,7-37,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A5,7-37,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A6,7-37,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A6,7-37,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A7,8-18,C,UNKNOWN,VIC,NFQ-MGB,39.8678016663,39.8678016663,,,,,0,0.01,1,3,39,,N,Y,Y
A7,8-18,D,UNKNOWN,FAM,NFQ-MGB,23.8225421906,23.7020339966,0.1704229712,,,,0,0.01,1,3,23,,N,Y,Y
A8,8-18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.8678016663,,,,,0,0.01,1,3,39,,N,Y,Y
A8,8-18,D,UNKNOWN,FAM,NFQ-MGB,23.58152771,23.7020339966,0.1704229712,,,,0,0.01,1,3,22,,N,Y,Y
A9,8-18,Ofav,UNKNOWN,FAM,NFQ-MGB,23.6626033783,23.8775367737,0.3039630651,,,,0,0.01,1,3,22,,N,N,N
A10,8-18,Ofav,UNKNOWN,FAM,NFQ-MGB,24.0924720764,23.8775367737,0.3039630651,,,,0,0.01,1,3,23,,N,N,N
A11,8-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A12,8-18,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
B1,7-39,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
B2,7-39,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B3,7-39,Ofav,UNKNOWN,FAM,NFQ-MGB,22.2848453522,22.4767303467,0.2713650167,,,,0,0.01,1,3,21,,N,N,N
B4,7-39,Ofav,UNKNOWN,FAM,NFQ-MGB,22.6686134338,22.4767303467,0.2713650167,,,,0,0.01,1,3,21,,N,N,N
B5,7-39,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.8039398193,,,,,0,0.01,1,3,39,,Y,Y,Y
B5,7-39,D,UNKNOWN,FAM,NFQ-MGB,23.5856437683,24.4330883026,1.1984676123,,,,0,0.01,1,3,23,,Y,Y,Y
B6,7-39,C,UNKNOWN,VIC,NFQ-MGB,37.8039398193,37.8039398193,,,,,0,0.01,1,3,39,,Y,Y,Y
B6,7-39,D,UNKNOWN,FAM,NFQ-MGB,25.2805328369,24.4330883026,1.1984676123,,,,0,0.01,1,3,24,,Y,Y,Y
B7,8-32,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B7,8-32,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,23.3708496094,,,,,0,0.01,1,3,39,,N,Y,Y
B8,8-32,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B8,8-32,D,UNKNOWN,FAM,NFQ-MGB,23.3708496094,23.3708496094,,,,,0,0.01,1,3,22,,N,Y,Y
B9,8-32,Ofav,UNKNOWN,FAM,NFQ-MGB,Undetermined,26.9148578644,,,,,0,0.01,1,3,39,,N,Y,Y
B10,8-32,Ofav,UNKNOWN,FAM,NFQ-MGB,26.9148578644,26.9148578644,,,,,0,0.01,1,3,26,,N,N,N
B11,8-32,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B12,8-32,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
