Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-29 12:52:48 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,8-35,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,8-35,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A3,8-35,Ofav,UNKNOWN,FAM,NFQ-MGB,24.7593364716,24.7980690002,0.0547774173,,,,0,0.01,1,3,23,,N,N,N
A4,8-35,Ofav,UNKNOWN,FAM,NFQ-MGB,24.8368034363,24.7980690002,0.0547774173,,,,0,0.01,1,3,24,,N,N,N
A5,8-35,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A5,8-35,D,UNKNOWN,FAM,NFQ-MGB,23.4009246826,23.3852005005,0.0222373512,,,,0,0.01,1,3,22,,N,Y,Y
A6,8-35,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A6,8-35,D,UNKNOWN,FAM,NFQ-MGB,23.3694763184,23.3852005005,0.0222373512,,,,0,0.01,1,3,22,,N,Y,Y
A7,4-72,C,UNKNOWN,VIC,NFQ-MGB,37.7766189575,37.7766189575,,,,,0,0.01,1,3,39,,N,Y,Y
A7,4-72,D,UNKNOWN,FAM,NFQ-MGB,24.3468151093,24.4698982239,0.1740658134,,,,0,0.01,1,3,23,,N,Y,Y
A8,4-72,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.7766189575,,,,,0,0.01,1,3,39,,N,Y,Y
A8,4-72,D,UNKNOWN,FAM,NFQ-MGB,24.5929813385,24.4698982239,0.1740658134,,,,0,0.01,1,3,24,,N,Y,Y
